Datum ;Zeit ;AT [°C];ATakt [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;HK1 Fernb[°C];HK1 Status;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;WW1 Status;Sensor ext [°C];PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 FRT End[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;PE1 CntDig1;PE1 Ashfill[kg];Fehler1 ;Fehler2 ;Fehler3 ;
19.02.2023;00:03:39;11,4;11,4;0;32,5;8,0;18,3;8,0;0;0;0,0;2064;54,3;54,3;25,0;0;8200;16,2;68,8;8,0;60,0;0;71,7;8,0;8,0;0,00;0,00;0;0;46,6;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,3;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:04:39;11,4;11,4;0;32,5;8,0;18,3;8,0;0;0;0,0;2064;54,3;54,3;25,0;0;8200;16,5;68,7;8,0;60,0;0;71,7;8,0;8,0;0,00;0,00;0;0;46,6;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,3;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:05:39;11,4;11,4;0;32,5;8,0;18,3;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,7;8,0;60,0;0;71,6;8,0;8,0;0,00;0,00;0;0;46,6;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:06:39;11,4;11,4;0;32,5;8,0;18,2;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,7;8,0;60,0;0;71,4;8,0;8,0;0,00;0,00;0;0;46,7;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:07:39;11,4;11,4;0;32,5;8,0;18,2;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,4;68,6;8,0;60,0;0;71,4;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:08:39;11,4;11,4;0;32,5;8,0;18,2;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,6;8,0;60,0;0;71,3;8,0;8,0;0,00;0,00;0;0;46,6;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:09:39;11,4;11,4;0;32,5;8,0;18,2;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,6;8,0;60,0;0;71,2;8,0;8,0;0,00;0,00;0;0;46,7;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,5;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:10:39;11,4;11,4;0;32,4;8,0;18,2;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,6;8,0;60,0;0;71,1;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:11:39;11,4;11,4;0;32,4;8,0;18,2;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,6;8,0;60,0;0;71,1;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:12:39;11,4;11,4;0;32,4;8,0;18,1;8,0;0;0;0,0;2064;54,2;54,2;25,0;0;8200;16,2;68,6;8,0;60,0;0;71,1;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;54,2;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:13:39;11,4;11,4;0;32,4;8,0;18,1;8,0;0;0;0,0;2064;54,1;54,1;25,0;0;8200;16,1;68,6;8,0;60,0;0;71,0;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,4;54,1;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:14:39;11,4;11,4;0;32,3;8,0;18,1;8,0;0;0;0,0;2064;54,1;54,1;25,0;0;8200;16,3;68,5;8,0;60,0;0;70,9;8,0;8,0;0,00;0,00;0;0;46,6;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,3;54,1;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:15:39;11,4;11,4;0;32,3;8,0;18,1;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,4;68,5;8,0;60,0;0;70,9;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,3;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:16:39;11,4;11,4;0;32,2;8,0;18,1;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,2;68,4;8,0;60,0;0;70,8;8,0;8,0;0,00;0,00;0;0;46,6;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,2;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:17:39;11,4;11,3;0;32,3;8,0;18,2;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,2;68,5;8,0;60,0;0;70,8;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,3;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:18:39;11,4;11,3;0;32,3;8,0;18,2;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,4;68,5;8,0;60,0;0;70,8;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,3;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:19:39;11,4;11,3;0;32,3;8,0;18,2;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,2;68,4;8,0;60,0;0;70,7;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,3;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:20:39;11,4;11,4;0;32,2;8,0;18,1;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,0;68,3;8,0;60,0;0;70,4;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,2;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:21:39;11,4;11,3;0;32,3;8,0;18,1;8,0;0;0;0,0;2064;54,0;54,0;25,0;0;8200;16,2;68,4;8,0;60,0;0;70,5;8,0;8,0;0,00;0,00;0;0;46,4;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,3;54,0;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:22:39;11,4;11,4;0;32,2;8,0;18,1;8,0;0;0;0,0;2064;53,9;53,9;25,0;0;8200;16,1;68,4;8,0;60,0;0;70,3;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,2;53,9;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:23:39;11,4;11,4;0;32,2;8,0;18,1;8,0;0;0;0,0;2064;53,9;53,9;25,0;0;8200;16,2;68,3;8,0;60,0;0;70,3;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,2;53,9;1;1;0;106;0;0;0;0,0;0;0;0;
19.02.2023;00:24:39;11,4;11,4;0;32,2;8,0;18,1;8,0;0;0;0,0;2064;53,9;53,9;25,0;0;8200;16,2;68,3;8,0;60,0;0;70,2;8,0;8,0;0,00;0,00;0;0;46,5;146,0;26208;0;99;0;0;1;0;0;0;0;0;0;0;0;32,2;53,9;1;1;0;106;0;0;0;0,0;0;0;0;
